Lab 02 (820171),Lab 03 (820172),Lab 04 (820173),Lab 05 (820174),Lab 06 (820175),Lab 07 (820176),Lab 08 (820177),Lab 09 (820178),Lab 10 (820179),Lab 11 (820180),Lab 12 (820181),Lab 13 (820182),Lab 14 (820183),Lab 15 (820184),Lab 16 (820185),Lab 17 (820186),Lab 20 (820189),Lab 21 (820190),Lab 22 (820187),Lab 23 (820188),Homework 1 (820163),Homework 2 (820164),Homework 3 (820165),Homework 4 (820211),Homework 5 (820166),Homework 6 (820167),Homework 7 (820168),Project 1 (820193),Project 2A (820194),Project 2B (820195),Project 3 (820196),Project 4 (820197),Midterm 1 (820191),Midterm 2 (820192),Final Exam (820162)
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,30,44,55
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,100,50,50,100,100,37.5,42,41
20,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,29.5,37,46
7.5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,35,43,48
20,20,20,20,20,20,20,20,20,0,20,20,20,20,4,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,21,21,46
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,39,45,51
20,20,20,20,20,20,20,20,0,3,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,97.75,100,40,45,62
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,50,50,50,50,50,50,50,100,50,50,100,100,40,43,63
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,39,43,52
20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,20,0,20,0,0,0,50,0,0,0,50,50,100,0,0,83.61,25,31,31,43.5
20,20,20,17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,37,45,55
20,20,20,19.95,20,4,20,20,20,17.5,20,20,20,20,12,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,40,44,52
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,50,50,41,0,49.6,0,0,100,50,50,80.43,90,32,26,49
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,39,44,56
20,15,20,19.55,20,0,20,20,20,20,20,20,0,20,20,20,20,20,20,20,30,50,50,50,0,0,0,100,50,50,0,0,27.5,0,0
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,29,45,51
20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,29.5,37,51.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,33,43,53
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,50,40,50,50,50,50,100,50,50,78.56,15,38,36,52.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,95,100,32,45,55
20,20,0,11.04,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,44,50,50,0,50,100,50,50,100,100,39,35,50
