Homework 1,Homework 2,Homework 3,Lab 02,Lab 03,Lab 04,Lab 05,Lab 06,Lab 07,Lab 08,Lab 09,Lab 10,Project 1,Project 2A,Midterm 1,Midterm 1 Grade
35,50,50,20.0,20.0,20,20.0,20,20,20,20,20,80,50.0,32.0,B-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,36.5,A-
50,50,50,20.0,20.0,20,20.0,20,0,20,20,20,75,50.0,34.0,B
0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,31.0,C+
50,50,50,5.0,20.0,20,20.0,20,20,20,20,20,100,50.0,38.5,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,35.0,B+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,30.0,C
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
0,0,50,20.0,20.0,20,20.0,20,20,20,20,20,0,50.0,19.0,E
0,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,35.0,B+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,28.5,C-
5,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,38.0,A
50,50,50,20.0,15.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
0,50,28,20.0,20.0,20,20.0,20,20,20,20,20,80,50.0,37.0,A-
25,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,31.0,C+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,36.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,35.0,B+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
50,50,50,0.0,20.0,20,20.0,20,20,0,0,20,100,50.0,37.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,27.0,D+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,17.24,0,0,0,20,0,100,50.0,37.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,6,20,20,20,100,50.0,35.0,B+
35,50,50,20.0,20.0,20,20.0,20,0,20,20,20,100,50.0,36.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
35,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,35.0,B+
35,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,32.5,B-
35,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,0.33,20,6,20,20,20,100,50.0,38.0,A
50,50,50,20.0,20.0,20,19.89,20,20,20,20,20,100,50.0,37.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
35,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
50,50,50,20.0,20.0,20,19.9,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,34.0,B
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
35,0,50,20.0,20.0,20,20.0,20,20,20,0,20,100,50.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,0.0,0.0,0,0.3,7,0,0,10,0,100,50.0,26.5,D
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
30,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,32.0,B-
35,50,50,0.0,20.0,20,20.0,20,20,20,10,20,100,50.0,32.0,B-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
50,50,50,20.0,20.0,15,20.0,20,20,20,20,20,100,50.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,35.0,B+
50,50,50,20.0,17.5,20,0.0,20,20,20,20,20,100,50.0,34.0,B
30,50,50,0.0,15.0,12,17.88,20,20,20,20,20,100,50.0,37.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,31.0,C+
45,50,0,20.0,20.0,20,20.0,20,20,20,20,20,55,50.0,39.0,A+
