Lab 02 (820171),Lab 03 (820172),Lab 04 (820173),Lab 05 (820174),Lab 06 (820175),Lab 07 (820176),Lab 08 (820177),Lab 09 (820178),Lab 10 (820179),Lab 11 (820180),Lab 12 (820181),Lab 13 (820182),Lab 14 (820183),Lab 15 (820184),Lab 16 (820185),Lab 17 (820186),Lab 20 (820189),Lab 21 (820190),Lab 22 (820187),Lab 23 (820188),Homework 1 (820163),Homework 2 (820164),Homework 3 (820165),Homework 4 (820211),Homework 5 (820166),Homework 6 (820167),Homework 7 (820168),Project 1 (820193),Project 2A (820194),Project 2B (820195),Project 3 (820196),Project 4 (820197),Extra Credit (838909),Midterm 1 (820191),Midterm 2 (820192),Final Exam (820162),Free Coding (10 pts) (840138),Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Assessments Current Score,Assessments Unposted Current Score,Assessments Final Score,Assessments Unposted Final Score,Labs Current Score,Labs Unposted Current Score,Labs Final Score,Labs Unposted Final Score,Homework Current Score,Homework Unposted Current Score,Homework Final Score,Homework Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Midterm 1 Current Score,Midterm 1 Unposted Current Score,Midterm 1 Final Score,Midterm 1 Unposted Final Score,Midterm 2 Current Score,Midterm 2 Unposted Current Score,Midterm 2 Final Score,Midterm 2 Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Imported Assignments Current Score,Imported Assignments Unposted Current Score,Imported Assignments Final Score,Imported Assignments Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,100,50,50,100,100,,37.5,42,41,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93.75,93.75,93.75,93.75,105,105,105,105,64.06,64.06,64.06,64.06,,,0,0,,,,,92.63,92.63,92.63,92.63,A-,A-,A-,A-
20,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,29.5,37,46,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,73.75,73.75,73.75,73.75,92.5,92.5,92.5,92.5,71.88,71.88,71.88,71.88,,,0,0,,,,,89.31,89.31,89.31,89.31,B+,B+,B+,B+
7.5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,35,43,48,,,,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,87.5,87.5,87.5,87.5,107.5,107.5,107.5,107.5,75,75,75,75,,,0,0,,,,,94.25,94.25,94.25,94.25,A,A,A,A
20,20,20,20,20,20,20,20,20,0,20,20,20,20,4,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,21,21,46,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,71.88,71.88,71.88,71.88,,,0,0,,,,,80.13,80.13,80.13,80.13,B-,B-,B-,B-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,39,45,51,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,97.5,97.5,97.5,112.5,112.5,112.5,112.5,79.69,79.69,79.69,79.69,,,0,0,,,,,97.44,97.44,97.44,97.44,A,A,A,A
20,20,20,20,20,20,20,20,0,3,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,97.75,100,,40,45,62,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,99.44,99.44,99.44,99.44,100,100,100,100,112.5,112.5,112.5,112.5,96.88,96.88,96.88,96.88,,,0,0,,,,,101.11,101.11,101.11,101.11,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,40,43,63,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,107.5,107.5,107.5,107.5,98.44,98.44,98.44,98.44,,,0,0,,,,,100.81,100.81,100.81,100.81,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,39,43,52,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,97.5,97.5,97.5,107.5,107.5,107.5,107.5,81.25,81.25,81.25,81.25,,,0,0,,,,,97,97,97,97,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,20,0,20,0,0,0,50,0,0,0,50,50,100,0,0,83.61,25,,31,31,43.5,,,,0,0,100,100,100,100,72.22,72.22,72.22,72.22,50,50,50,50,52.15,52.15,52.15,52.15,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,67.97,67.97,67.97,67.97,,,0,0,,,,,65.71,65.71,65.71,65.71,D,D,D,D
20,20,20,17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,37,45,55,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92.5,92.5,92.5,92.5,112.5,112.5,112.5,112.5,85.94,85.94,85.94,85.94,,,0,0,,,,,97.94,97.94,97.94,97.94,A,A,A,A
20,20,20,19.95,20,4,20,20,20,17.5,20,20,20,20,12,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,40,44,52,,,,0,0,100,100,100,100,99.29,99.29,99.29,99.29,100,100,100,100,100,100,100,100,100,100,100,100,110,110,110,110,81.25,81.25,81.25,81.25,,,0,0,,,,,97.64,97.64,97.64,97.64,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,50,50,41,0,49.6,0,0,100,50,50,80.43,90,,32,26,49,,,,0,0,100,100,100,100,100,100,100,100,63.53,63.53,63.53,63.53,92.61,92.61,92.61,92.61,80,80,80,80,65,65,65,65,76.56,76.56,76.56,76.56,,,0,0,,,,,81.57,81.57,81.57,81.57,B-,B-,B-,B-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,39,44,56,,,,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,97.5,97.5,97.5,97.5,110,110,110,110,87.5,87.5,87.5,87.5,,,0,0,,,,,98.63,98.63,98.63,98.63,A,A,A,A
20,15,20,19.55,20,0,20,20,20,20,20,20,0,20,20,20,20,20,20,20,30,50,50,50,0,0,0,100,50,50,0,0,,27.5,0,0,,,,0,0,100,100,100,100,98.48,98.48,98.48,98.48,60,60,60,60,50,50,50,50,68.75,68.75,68.75,68.75,0,0,0,0,0,0,0,0,,,0,0,,,,,43.59,43.59,43.59,43.59,E,E,E,E
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,29,45,51,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,72.5,72.5,72.5,72.5,112.5,112.5,112.5,112.5,79.69,79.69,79.69,79.69,,,0,0,,,,,93.69,93.69,93.69,93.69,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,29.5,37,51.5,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,73.75,73.75,73.75,73.75,92.5,92.5,92.5,92.5,80.47,80.47,80.47,80.47,,,0,0,,,,,91.03,91.03,91.03,91.03,A-,A-,A-,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,33,43,53,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,82.5,82.5,82.5,82.5,107.5,107.5,107.5,107.5,82.81,82.81,82.81,82.81,,,0,0,,,,,95.06,95.06,95.06,95.06,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,50,40,50,50,50,50,100,50,50,78.56,15,,38,36,52.5,,,,0,0,100,100,100,100,100,100,100,100,96.67,96.67,96.67,96.67,73.39,73.39,73.39,73.39,95,95,95,95,90,90,90,90,82.03,82.03,82.03,82.03,,,0,0,,,,,87.17,87.17,87.17,87.17,B+,B+,B+,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,95,100,,32,45,55,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,98.75,98.75,98.75,98.75,80,80,80,80,112.5,112.5,112.5,112.5,85.94,85.94,85.94,85.94,,,0,0,,,,,95.75,95.75,95.75,95.75,A,A,A,A
20,20,0,11.04,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,44,50,50,0,50,100,50,50,100,100,,39,35,50,,,,0,0,100,100,100,100,100,100,100,100,98,98,98,98,100,100,100,100,97.5,97.5,97.5,97.5,87.5,87.5,87.5,87.5,78.13,78.13,78.13,78.13,,,0,0,,,,,93.18,93.18,93.18,93.18,A,A,A,A
20,20,20,20,20,20,20,20,20,14.5,20,20,20,20,20,20,20,20,20,20,40,50,50,50,50,50,50,100,50,50,100,75,,40,44,55,,,,0,0,0,0,0,0,100,100,100,100,100,100,100,100,93.75,93.75,93.75,93.75,100,100,100,100,110,110,110,110,85.94,85.94,85.94,85.94,,,0,0,,,,,97.13,97.13,97.13,97.13,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,37,44,44,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92.5,92.5,92.5,92.5,110,110,110,110,68.75,68.75,68.75,68.75,,,0,0,,,,,94.13,94.13,94.13,94.13,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,50,100,50,50,100,100,,40,44,63,10,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,110,110,110,98.44,98.44,98.44,98.44,100,100,100,100,,,,,106.19,106.19,106.19,106.19,A,A,A,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,0,0,0,0,E,E,E,E
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,24,43,46,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,60,60,60,60,107.5,107.5,107.5,107.5,71.88,71.88,71.88,71.88,,,0,0,,,,,89.5,89.5,89.5,89.5,B+,B+,B+,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,38,43,54,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,95,95,95,107.5,107.5,107.5,107.5,84.38,84.38,84.38,84.38,,,0,0,,,,,97.25,97.25,97.25,97.25,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,37,43,51,,,,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,92.5,92.5,92.5,92.5,107.5,107.5,107.5,107.5,79.69,79.69,79.69,79.69,,,0,0,,,,,95.94,95.94,95.94,95.94,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,38,40,48,,,,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,95,95,95,95,100,100,100,100,75,75,75,75,,,0,0,,,,,94.25,94.25,94.25,94.25,A,A,A,A
20,20,20,12.83,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,50,50,50,50,50,50,100,50,50,100,75,,37,43,58,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,93.75,93.75,93.75,93.75,92.5,92.5,92.5,92.5,107.5,107.5,107.5,107.5,90.63,90.63,90.63,90.63,,,0,0,,,,,96.56,96.56,96.56,96.56,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,50,50,22,50,50,50,34,100,50,50,71.16,100,,38,42,61,10,,,0,0,0,0,0,0,100,100,100,100,94.67,94.67,94.67,94.67,92.79,92.79,92.79,92.79,95,95,95,95,105,105,105,105,95.31,95.31,95.31,95.31,100,100,100,100,,,,,101.73,101.73,101.73,101.73,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,32,36,44,,,,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,80,80,80,80,90,90,90,90,68.75,68.75,68.75,68.75,,,0,0,,,,,89.25,89.25,89.25,89.25,B+,B+,B+,B+
20,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,0,20,20,20,35,50,50,50,26.96,50,50,80,50,50,100,25,,32,38,46.5,,,,0,0,100,100,100,100,100,100,100,100,95,95,95,95,76.25,76.25,76.25,76.25,80,80,80,80,95,95,95,95,72.66,72.66,72.66,72.66,,,0,0,,,,,84.34,84.34,84.34,84.34,B,B,B,B
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,39,45,56,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,97.5,97.5,97.5,112.5,112.5,112.5,112.5,87.5,87.5,87.5,87.5,,,0,0,,,,,99,99,99,99,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,36.5,40,50,10,,,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,91.25,91.25,91.25,91.25,100,100,100,100,78.13,78.13,78.13,78.13,100,100,100,100,,,,,99.31,99.31,99.31,99.31,A,A,A,A
20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,75,50,50,100,50,,34,39,53,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,81.25,81.25,81.25,81.25,85,85,85,85,97.5,97.5,97.5,97.5,82.81,82.81,82.81,82.81,,,0,0,,,,,89.25,89.25,89.25,89.25,B+,B+,B+,B+
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,31,0,0,,,,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,77.5,77.5,77.5,77.5,0,0,0,0,0,0,0,0,,,0,0,,,,,11.63,11.63,11.63,11.63,E,E,E,E
5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,38.5,44,47,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.25,96.25,96.25,96.25,110,110,110,110,73.44,73.44,73.44,73.44,,,0,0,,,,,95.63,95.63,95.63,95.63,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,32,50,50,50,100,50,50,100,50,,35,44,50,,,,0,0,0,0,0,0,100,100,100,100,100,100,100,100,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,110,110,110,110,78.13,78.13,78.13,78.13,,,0,0,,,,,92.13,92.13,92.13,92.13,A-,A-,A-,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,30,45,56,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,75,75,75,112.5,112.5,112.5,112.5,87.5,87.5,87.5,87.5,,,0,0,,,,,95.63,95.63,95.63,95.63,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,39,44,56,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,97.5,97.5,97.5,110,110,110,110,87.5,87.5,87.5,87.5,,,0,0,,,,,98.63,98.63,98.63,98.63,A,A,A,A
20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,0,0,0,50,50,50,50,50,0,50,45,100,50,,19,20,37,,,,0,0,100,100,100,100,100,100,100,100,83.33,83.33,83.33,83.33,61.25,61.25,61.25,61.25,47.5,47.5,47.5,47.5,50,50,50,50,57.81,57.81,57.81,57.81,,,0,0,,,,,64.83,64.83,64.83,64.83,D,D,D,D
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,100,50,50,100,15,,35,45,49,,,,0,0,0,0,0,0,100,100,100,100,100,100,100,100,78.75,78.75,78.75,78.75,87.5,87.5,87.5,87.5,112.5,112.5,112.5,112.5,76.56,76.56,76.56,76.56,,,0,0,,,,,90,90,90,90,A-,A-,A-,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,39,45,53,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,97.5,97.5,97.5,112.5,112.5,112.5,112.5,82.81,82.81,82.81,82.81,,,0,0,,,,,98.06,98.06,98.06,98.06,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,28.5,42,44,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,71.25,71.25,71.25,71.25,105,105,105,105,68.75,68.75,68.75,68.75,,,0,0,,,,,90.19,90.19,90.19,90.19,A-,A-,A-,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,5,50,50,50,50,50,50,100,50,50,100,100,,38,40,55,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,95,95,95,100,100,100,100,85.94,85.94,85.94,85.94,,,0,0,,,,,96.44,96.44,96.44,96.44,A,A,A,A
20,15,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,40,43,57,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,107.5,107.5,107.5,107.5,89.06,89.06,89.06,89.06,,,0,0,,,,,98.94,98.94,98.94,98.94,A,A,A,A
20,20,20,20,20,20,20,20,20,0,10,7,0,0,4,0,20,0,20,20,0,50,28,50,0,0,50,80,50,50,0,15,,37,42,59,,,,0,0,100,100,100,100,72.5,72.5,72.5,72.5,59.33,59.33,59.33,59.33,48.75,48.75,48.75,48.75,92.5,92.5,92.5,92.5,105,105,105,105,92.19,92.19,92.19,92.19,,,0,0,,,,,77.06,77.06,77.06,77.06,C+,C+,C+,C+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,50,50,50,0,50,24,100,50,42.5,75.53,100,,31,29,39.5,,,,0,0,100,100,100,100,100,100,100,100,83,83,83,83,92.01,92.01,92.01,92.01,77.5,77.5,77.5,77.5,72.5,72.5,72.5,72.5,61.72,61.72,61.72,61.72,,,0,0,,,,,81.15,81.15,81.15,81.15,B-,B-,B-,B-
20,20,20,20,20,20,20,20,20,20,20,20,0,0,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,76.67,25,,36,42,51,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,75.42,75.42,75.42,75.42,90,90,90,90,105,105,105,105,79.69,79.69,79.69,79.69,,,0,0,,,,,89.04,89.04,89.04,89.04,B+,B+,B+,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,35,44,56,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,87.5,87.5,87.5,87.5,110,110,110,110,87.5,87.5,87.5,87.5,,,0,0,,,,,97.13,97.13,97.13,97.13,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,37,45,57,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92.5,92.5,92.5,92.5,112.5,112.5,112.5,112.5,89.06,89.06,89.06,89.06,,,0,0,,,,,98.56,98.56,98.56,98.56,A,A,A,A
0,20,20,20,20,20,0,0,20,0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,0,50,100,50,50,100,100,,37,45,59,,,,0,0,100,100,100,100,88.89,88.89,88.89,88.89,100,100,100,100,100,100,100,100,92.5,92.5,92.5,92.5,112.5,112.5,112.5,112.5,92.19,92.19,92.19,92.19,,,0,0,,,,,97.52,97.52,97.52,97.52,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,27,45,50,,,,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,67.5,67.5,67.5,67.5,112.5,112.5,112.5,112.5,78.13,78.13,78.13,78.13,,,0,0,,,,,92.63,92.63,92.63,92.63,A-,A-,A-,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,12,50,50,50,50,50,50,50,100,50,50,100,100,,40,44,60,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,110,110,110,93.75,93.75,93.75,93.75,,,0,0,,,,,100.25,100.25,100.25,100.25,A,A,A,A
20,20,20,17.24,0,0,0,20,0,0,0,20,0,20,0,20,0,0,20,0,50,50,50,50,50,0,50,100,50,50,0,100,,37,32,54,,,,0,0,0,0,0,0,49.23,49.23,49.23,49.23,100,100,100,100,75,75,75,75,92.5,92.5,92.5,92.5,80,80,80,80,84.38,84.38,84.38,84.38,,,0,0,,,,,78.89,78.89,78.89,78.89,C+,C+,C+,C+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,50,100,50,50,100,100,,40,43,58,,,,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,107.5,107.5,107.5,107.5,90.63,90.63,90.63,90.63,,,0,0,,,,,99.25,99.25,99.25,99.25,A,A,A,A
20,20,20,20,20,6,20,20,20,14.5,20,20,20,8,8,18,20,20,0,0,50,50,50,50,50,50,50,100,50,50,100,100,,35,38,53,,,,0,0,100,100,100,100,87.36,87.36,87.36,87.36,100,100,100,100,100,100,100,100,87.5,87.5,87.5,87.5,95,95,95,95,82.81,82.81,82.81,82.81,,,0,0,,,,,92.04,92.04,92.04,92.04,A-,A-,A-,A-
20,20,20,20,20,0,20,20,20,20,0,20,20,20,20,20,20,20,0,20,35,50,50,50,50,50,50,100,50,50,100,40,,36,40,57,,,,0,0,0,0,0,0,94.44,94.44,94.44,94.44,100,100,100,100,85,85,85,85,90,90,90,90,100,100,100,100,89.06,89.06,89.06,89.06,,,0,0,,,,,91.73,91.73,91.73,91.73,A-,A-,A-,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,50,100,50,50,100,100,,37,45,57,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92.5,92.5,92.5,92.5,112.5,112.5,112.5,112.5,89.06,89.06,89.06,89.06,,,0,0,,,,,98.56,98.56,98.56,98.56,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,39,44,59,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,97.5,97.5,97.5,110,110,110,110,92.19,92.19,92.19,92.19,,,0,0,,,,,99.56,99.56,99.56,99.56,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,8,12,0,20,0,0,0,35,50,50,50,50,0,0,100,50,50,0,0,,35,42,0,,,,0,0,100,100,100,100,83.33,83.33,83.33,83.33,78.33,78.33,78.33,78.33,50,50,50,50,87.5,87.5,87.5,87.5,105,105,105,105,0,0,0,0,,,0,0,,,,,61.71,61.71,61.71,61.71,D-,D-,D-,D-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,50,50,50,36.23,50,50,100,50,50,100,75,,32.5,45,52,,,,0,0,100,100,100,100,100,100,100,100,95.41,95.41,95.41,95.41,93.75,93.75,93.75,93.75,81.25,81.25,81.25,81.25,112.5,112.5,112.5,112.5,81.25,81.25,81.25,81.25,,,0,0,,,,,93.29,93.29,93.29,93.29,A,A,A,A
20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,35,50,50,50,50,50,50,100,50,0,100,100,,40,45,59,10,,,0,0,0,0,0,0,100,100,100,100,100,100,100,100,87.5,87.5,87.5,87.5,100,100,100,100,112.5,112.5,112.5,112.5,92.19,92.19,92.19,92.19,100,100,100,100,,,,,102.19,102.19,102.19,102.19,A,A,A,A
20,20,20,0.33,20,6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,38,40,52.5,,,,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,95,95,95,95,100,100,100,100,82.03,82.03,82.03,82.03,,,0,0,,,,,95.66,95.66,95.66,95.66,A,A,A,A
20,20,20,19.89,20,20,20,20,20,14.5,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,37,42,61,10,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92.5,92.5,92.5,92.5,105,105,105,105,95.31,95.31,95.31,95.31,100,100,100,100,,,,,103.69,103.69,103.69,103.69,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,40,42,61,10,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,105,105,105,105,95.31,95.31,95.31,95.31,100,100,100,100,,,,,104.81,104.81,104.81,104.81,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,40,45,53,10,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,112.5,112.5,112.5,112.5,82.81,82.81,82.81,82.81,100,100,100,100,,,,,103.44,103.44,103.44,103.44,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,39,45,50,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,97.5,97.5,97.5,112.5,112.5,112.5,112.5,78.13,78.13,78.13,78.13,,,0,0,,,,,97.13,97.13,97.13,97.13,A,A,A,A
