Lab 02 (820171),Lab 03 (820172),Lab 04 (820173),Lab 05 (820174),Lab 06 (820175),Lab 07 (820176),Lab 08 (820177),Lab 09 (820178),Lab 10 (820179),Lab 11 (820180),Lab 12 (820181),Lab 13 (820182),Lab 14 (820183),Lab 15 (820184),Lab 16 (820185),Lab 17 (820186),Homework 1 (820163),Homework 2 (820164),Homework 3 (820165),Homework 4 (820211),Homework 5 (820166),Homework 6 (820167),Project 1 (820193),Project 2A (820194),Project 2B (820195),Project 3 (820196),Extra Credit (838909),Midterm 1 (820191),Midterm 2 (820192),Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Final Score,Final Grade
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,30,44,,,0,0,94.94,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,100,50,50,100,,37.5,42,,,0,0,92.63,A-
20,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,29.5,37,,,0,0,89.31,B+
7.5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,35,43,,,0,0,94.25,A
20,20,20,20,20,20,20,20,20,0,20,20,20,20,4,20,50,50,50,50,50,50,100,50,50,100,,21,21,,,0,0,80.13,B-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,45,,,0,0,97.44,A
20,20,20,20,20,20,20,20,0,3,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,97.75,,40,45,,,0,0,101.11,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,43,,,0,0,100.81,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,43,,,0,0,97,A
20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,20,0,50,0,0,0,50,100,0,0,83.61,,31,31,,,0,0,65.71,D
20,20,20,17,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,37,45,,,0,0,97.94,A
20,20,20,19.95,20,4,20,20,20,17.5,20,20,20,20,12,20,50,50,50,50,50,50,100,50,50,100,,40,44,,,0,0,97.64,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,41,0,49.6,0,100,50,50,80.43,,32,26,,,0,0,81.57,B-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,44,,,0,0,98.63,A
20,15,20,19.55,20,0,20,20,20,20,20,20,0,20,20,20,30,50,50,50,0,0,100,50,50,0,,27.5,0,,,0,0,43.59,E
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,29,45,,,0,0,93.69,A
20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,50,50,50,50,50,50,100,50,50,100,,29.5,37,,,0,0,91.03,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,33,43,,,0,0,95.06,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,50,40,50,50,50,100,50,50,78.56,,38,36,,,0,0,87.17,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,95,,32,45,,,0,0,95.75,A
20,20,0,11.04,20,20,20,20,20,20,20,20,20,20,20,20,50,50,44,50,50,0,100,50,50,100,,39,35,,,0,0,93.18,A
20,20,20,20,20,20,20,20,20,14.5,20,20,20,20,20,20,40,50,50,50,50,50,100,50,50,100,,40,44,,,0,0,97.13,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,37,44,,,0,0,94.13,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,44,100,100,100,100,106.19,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,E
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,24,43,,,0,0,89.5,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,38,43,,,0,0,97.25,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,37,43,,,0,0,95.94,A
20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,20,50,50,50,50,50,50,100,50,50,100,,38,40,,,0,0,94.25,A
20,20,20,12.83,20,20,20,20,20,20,20,20,20,20,20,20,35,50,50,50,50,50,100,50,50,100,,37,43,,,0,0,96.56,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,22,50,50,50,100,50,50,71.16,,38,42,100,100,100,100,101.73,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,32,36,,,0,0,89.25,B+
20,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,35,50,50,50,26.96,50,80,50,50,100,,32,38,,,0,0,84.34,B
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,45,,,0,0,99,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,36.5,40,100,100,100,100,99.31,A
20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,75,50,50,100,,34,39,,,0,0,89.25,B+
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,31,0,,,0,0,11.63,E
5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,38.5,44,,,0,0,95.63,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,32,50,50,100,50,50,100,,35,44,,,0,0,92.13,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,30,45,,,0,0,95.63,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,44,,,0,0,98.63,A
20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,0,0,50,50,50,50,0,50,45,100,,19,20,,,0,0,64.83,D
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,100,50,50,100,,35,45,,,0,0,90,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,45,,,0,0,98.06,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,28.5,42,,,0,0,90.19,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,5,50,50,50,50,50,100,50,50,100,,38,40,,,0,0,96.44,A
20,15,20,20,20,20,20,20,20,10,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,43,,,0,0,98.94,A
20,20,20,20,20,20,20,20,20,0,10,7,0,0,4,0,0,50,28,50,0,0,80,50,50,0,,37,42,,,0,0,77.06,C+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,50,50,50,0,50,100,50,42.5,75.53,,31,29,,,0,0,81.15,B-
20,20,20,20,20,20,20,20,20,20,20,20,0,0,20,20,50,50,50,50,50,50,100,50,50,76.67,,36,42,,,0,0,89.04,B+
